% Model,ConnectedTriangle_PHZ051G02_X148G55H247p6_largerange.mph
% Version,COMSOL 5.5.0.359
% Date,"Jul 23 2020, 21:13"
% Table,"Bowtie tip average norm E abs and arg (rad) - Bowtie tip average norm E abs and arg (rad) (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
1.3100000000000002E-6,2.2884920458015262E14,15.679809754292906,2.1195211377984693
1.32E-6,2.2711549848484847E14,15.33478768760444,2.159011138970784
1.33E-6,2.2540786315789475E14,15.006670028769072,2.1977320210233233
1.34E-6,2.2372571492537312E14,14.695228795873478,2.2356099330645534
1.3500000000000002E-6,2.2206848740740738E14,14.399987292291083,2.272618472284672
1.3600000000000001E-6,2.2043563088235294E14,14.1202990368626,2.308758738376207
1.37E-6,2.188266116788321E14,13.855415871646565,2.344047525282322
1.3800000000000001E-6,2.1724091159420288E14,13.604539386926898,2.3785102562760687
1.39E-6,2.156780273381295E14,13.366857173023341,2.41217672815713
1.4000000000000001E-6,2.1413746999999997E14,13.140408746448747,2.444950730915021
1.41E-6,2.1261876453900706E14,12.925240825518834,2.476946316735603
1.42E-6,2.1112144929577466E14,12.721120594959729,2.5082508685304057
1.43E-6,2.0964507552447553E14,12.527329855857925,2.538894105511394
1.4400000000000002E-6,2.0818920694444444E14,12.343194456010426,2.568904258583447
1.45E-6,2.067534193103448E14,12.168084782392892,2.5983079789228243
1.46E-6,2.053373E14,12.001414872925217,2.627130331402438
1.4700000000000001E-6,2.0394044761904762E14,11.84264068040298,2.65539483807145
1.4800000000000002E-6,2.025624716216216E14,11.691257854864883,2.6831235497893453
1.4900000000000001E-6,2.0120299194630872E14,11.546799280685905,2.710337132246034
1.5E-6,1.9986163866666666E14,11.40883253061022,2.737054957765016
1.51E-6,1.9853805165562912E14,11.276957337109328,2.763295197604629
1.52E-6,1.972318802631579E14,11.15080314652868,2.789074911584744
1.5300000000000002E-6,1.959427830065359E14,11.030026792780612,2.814410133243179
1.54E-6,1.9467042727272728E14,10.914310313512635,2.8393159495811724
1.55E-6,1.9341448903225806E14,10.80335891407567,2.8638065750292623
1.56E-6,1.9217465256410256E14,10.696899085919982,2.8878954195915445
1.5700000000000002E-6,1.9095061019108278E14,10.594676870883465,2.9115951513471967
1.5800000000000001E-6,1.8974206202531644E14,10.496456268697637,2.9349177536020643
1.59E-6,1.8854871572327044E14,10.402017776963863,2.957874577045778
1.6E-6,1.8737028625E14,10.311157056445994,2.980476387297087
1.61E-6,1.862064956521739E14,10.22368371193939,3.002733408221877
1.6200000000000002E-6,1.8505707283950616E14,10.137765513367796,3.0243235656264162
1.63E-6,1.8392175337423312E14,10.05501862056923,3.045606160876972
1.64E-6,1.828002792682927E14,9.975277734376402,3.0665889909171833
1.65E-6,1.8169239878787878E14,9.898388569949198,3.087279511129789
1.6600000000000002E-6,1.8059786626506022E14,9.824206980359364,3.1076848589884
1.67E-6,1.7951644191616766E14,9.75259816031479,3.1278118754881086
1.68E-6,1.784478916666667E14,9.68343591982001,-2.4312894073588502
1.6900000000000001E-6,1.773919869822485E14,9.616602023155862,-3.1159283961752373
1.7000000000000002E-6,1.7634850470588234E14,9.551985584611948,-3.096598010989456
1.7100000000000001E-6,1.7531722690058478E14,9.489482518500902,-3.0775211939165183
1.72E-6,1.742979406976744E14,9.428995034522549,-3.058692326744643
1.73E-6,1.7329043815028903E14,9.370431177985182,-3.0401059937512738
1.74E-6,1.72294516091954E14,9.313704408110945,-3.0217569703038447
1.7500000000000002E-6,1.7130997599999997E14,9.258733211006623,-3.0036402123603896
1.76E-6,1.7033662386363634E14,9.205440746116256,-2.9857508467818854
1.77E-6,1.693742700564972E14,9.153754520506363,-2.968084162376309
1.78E-6,1.6842272921348316E14,9.103606089105044,-2.9506356016059656
1.7900000000000002E-6,1.674818201117318E14,9.054930780396607,-2.933400752894574
1.8000000000000001E-6,1.6655136555555553E14,9.007667442834034,-2.916375343481836
1.81E-6,1.6563119226519338E14,8.961758212098829,-2.8995552327717227
1.82E-6,1.6472113076923075E14,8.917148293116599,-2.8829364061340996
1.8300000000000003E-6,1.6382101530054644E14,8.873785764558445,-2.86651496911877
